"Parameter","Environment","Ab_BP","Ab_BPsd","Ab_BPCIl","Ab_BPCIu","v1970","v2010","p","R2"
"Biomass","2015/HAN/LN_NF_RF",0.659498889384259,0.040687701813843,0.57921266204524,0.739785116723278,140.364242719995,166.744198295366,0,0.59
"Biomass","2015/KAL/HN_NF_RF",0.548945841910365,0.0525184315378196,0.445302964975644,0.652588718845086,169.44238608311,191.400219759524,0,0.38
"Biomass","2015/KAL/HN_WF_RF",0.066439981733804,0.0964534943650061,-0.12389222280966,0.256772186277268,206.146160268749,208.803759538101,0.6968,0
"Biomass","2015/KAL/LN_NF_RF",0.206973445193727,0.0354403857630314,0.137030625176815,0.276916265210639,131.665125517167,139.944063324916,1e-04,0.16
"Biomass","2015/KIE/HN_NF_RF",0.532140298649053,0.021347676850144,0.490016404687378,0.574264192610728,145.651638364543,166.937250310505,0,0.78
"Biomass","2015/KIE/HN_WF_RF",0.236558773245769,0.0159536650711367,0.205078509586442,0.268039036905095,152.314980454192,161.777331384023,0,0.55
"Biomass","2015/KIE/LN_NF_RF",0.419345269743755,0.0199185343394382,0.380041403834767,0.458649135652744,131.202793127916,147.976603917666,0,0.71
"Biomass","2015/QLB/HN_NF_RF",0.468743625351162,0.03444898137076,0.400767833486961,0.536719417215363,130.748137729147,149.497882743193,0,0.51
"Biomass","2015/QLB/HN_WF_RF",0.22828038079581,0.0305306640494438,0.168036333444605,0.288524428147015,153.612481541083,162.743696772915,0,0.24
"Biomass","2015/QLB/LN_NF_RF",0.497252177640037,0.0364924846417493,0.425244082134472,0.569260273145602,140.808277515599,160.698364621201,0,0.51
"Biomass","2016/GGE/HN_NF_RF",0.366202794111052,0.0416340301486833,0.28404924253298,0.448356345689124,110.823769892427,125.47188165687,0,0.3
"Biomass","2016/GGE/HN_WF_RF",0.248527192886432,0.0197349909065554,0.20958550053658,0.287468885236284,137.669952362769,147.611040078226,0,0.47
"Biomass","2016/GGE/LN_NF_RF",0.0749654396475788,0.0183687637153585,0.0387196289027152,0.111211250392442,101.644825934092,104.643443519995,0.2116,0.08
"Biomass","2016/HAN/HN_NF_RF",0.553379837198634,0.033192005956875,0.487884347964954,0.618875326432314,110.963945698394,133.099139186339,0,0.61
"Biomass","2016/HAN/HN_WF_RF",0.375708524584089,0.0233419067882898,0.329649554640172,0.421767494528005,141.526509780565,156.554850763929,0,0.59
"Biomass","2016/HAN/LN_NF_RF",0.402662334829227,0.0326649372890559,0.338206873736762,0.467117795921691,112.972972665641,129.07946605881,0,0.46
"Biomass","2016/KAL/HN_NF_RF",0.303583623047854,0.0368128221381233,0.230935094088383,0.376232152007325,147.260531103262,159.403876025176,0,0.28
"Biomass","2016/KAL/HN_WF_RF",0.296406352891813,0.0418886147996395,0.213680462177733,0.379132243605894,180.386101249111,192.242355364784,0,0.24
"Biomass","2016/KAL/LN_NF_RF",0.331181566730276,0.0401338667139658,0.251946439283658,0.410416694176894,137.57432738469,150.821590053901,0,0.29
"Biomass","2016/KIE/HN_NF_RF",0.467621719182127,0.0267397896509709,0.414857942040381,0.520385496323872,106.098941502642,124.803810269927,0,0.63
"Biomass","2016/KIE/HN_WF_RF",0.253946137604926,0.0200161107329872,0.214449730948583,0.29344254426127,137.037293210481,147.195138714678,0,0.47
"Biomass","2016/KIE/LN_NF_RF",0.139142685019144,0.0232484074085954,0.0932682109331784,0.185017159105109,116.200950282215,121.766657682981,8e-04,0.17
"Biomass","2016/QLB/HN_NF_RF",0.786793293716045,0.0596367542895704,0.66911621196392,0.904470375468169,141.135005046266,172.606736794908,0,0.49
